n_authors,Session,Order,abstract_number,category,article-title,surname1,given-names1,aff1,abstract,fn-group,surname2,given-names2,aff2,surname3,given-names3,aff3,surname4,given-names4,aff4,surname5,given-names5,aff5,surname6,given-names6,aff6,surname7,given-names7,aff7,surname8,given-names8,aff8,surname9,given-names9,aff9,surname10,given-names10,aff10,surname11,given-names11,aff11,surname12,given-names12,aff12,surname13,given-names13,aff13,surname14,given-names14,aff14,surname15,given-names15,aff15,surname16,given-names16,aff16,surname17,given-names17,aff17
1,1,1,1,"Award Lecture","2022 Boynton Award Lecture: Untangling visual processing and sensitivity regulation using data from normals and from patients missing key molecules required for normal visual function",Stockman,Andrew,"UCL Institute of Ophthalmology","An important way of characterizing normal and abnormal visual processing is to measure sensitivity to flicker. We can account for over 70 years of normal flicker-sensitivity measurements with a simple, physiologically relevant sequential model built from a cascade of low-pass filters that requires only two intensity-dependent model parameters: one that adjusts response speed, and the other that adjusts the overall gain at higher light intensities.

We have also applied this model to 20 years of flicker-sensitivity measurements obtained from groups of patients with molecularly characterised deficits that affect different stages of visual processing. We can characterise the resulting visual losses (or gains) in terms of changes that speed up the responses of one or more stages, or slow them down, or interpose additional stages. Remarkably, we find that other stages make compensatory adjustments to offset the abnormality and thus help to keep the overall system in a useful operating range. For example, if the abnormal stage slows down the visual response, another stage is likely to speed up or attenuate the response to rebalance performance.

Our approach also allows us to tease apart stationary and progressive effects, and the localised molecular losses help us to unravel and characterise individual steps in the normal and abnormal processing sequences. They have also led to a revised understanding of a classic problem in visual science: how the critical flicker frequency (the highest frequency that can just be seen) grows with light intensity.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,"Award Lecture","2021 Tillyer Award Lecture: The Early Visual Encoding: Computations and Consequences",Brainard,David,"University of Pennsylvania","The visual system takes sensory measurements of the light incident at the eyes and uses these to make perceptual inferences about external world. The sensory measurements do not preserve all of the information available in the light signal. One approach to understanding the implications of the initial stages of visual processing is ideal observer analysis, which evaluates the information available to support psychophysical discriminations at various stages of the early visual representation. We are interested in extending this type of analysis to take into account the statistical structure of natural images. To do so, we developed an open-source computational model of the initial visual encoding, ISETBio (isetbio.org). ISETBio incorporates specification of visual displays, retinal image formation through the eye's optics, spatio-spectral sampling by the retinal cone mosaic, Poisson noise in the cone photopigment excitations, transduction of excitations to photocurrent, and fixational eye movements. In this talk, I will introduce ISETBio and illustrate a set of insights it enables about visual processing by reviewing a number of computational examples. These examples will include ways that combining ISETBio with Bayesian image-reconstruction methods helps us understand how the interaction of the visual encoding and the statistical structure of natural images shapes visual performance.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,3,"Award Lecture","2022 Tillyer Award Lecture: Visual Control of Locomotion in Natural Environments",Hayhoe,Mary,"University of Texas Austin","Control of locomotion is clearly an important role for vision, but one that we know little about. Considerable attention has been devoted to the potential role of retinal motion patterns, generated by self-motion, in steering towards a goal. These motion patterns are determined by an interconnected set of factors, including gaze location, gaze stabilization, the structure of the environment, and the walker’s behavioral goals. We have collected measurements of the eyes, the body, and the 3D environment during locomotion in natural terrains. This has allowed us to explore the resulting retinal motion patterns, and how they might be used to guide behavior. Large variations in head direction during the gait cycle make it problematic for use in steering towards a goal, but gaze stabilization leads to regularities in the retinal motion patterns that could provide a postural control signal during locomotion. Another aspect of the visual control of locomotion is the choice of foot placement in rugged terrain. We examined the role of local height changes in the terrain, and showed that visual selection of footholds reflects a complex interplay between energetic costs and the need for stable foot placement. Thus visual signals about motion and depth act as time-varying local control signals for the momentary disposition of the body rather than steering toward more distant goals.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,4,"Invited Talk","Deep learning-based stimulus optimization for prosthetic vision",Beyeler,Michael,"University of California, Santa Barbara","Visual neuroprostheses are emerging as a promising technology to restore a rudimentary form of vision to people living with incurable blindness. However, phosphenes elicited by current devices often appear artificial and distorted. Although current computational models can predict the neural or perceptual response to an electrical stimulus, an optimal stimulation strategy needs to solve the inverse problem: what is the required stimulus to produce a desired response? Here we frame this as an end-to-end optimization problem, where a deep neural network encoder is trained to invert a psychophysically validated phosphene model that predicts phosphene appearance as a function of stimulus amplitude, frequency, and pulse duration. As a proof of concept, we show that our strategy can produce high-fidelity, patient-specific stimuli representing handwritten digits and segmented images of everyday objects that drastically outperform conventional encoding strategies by relying on smaller stimulus amplitudes at the expense of higher frequencies and longer pulse durations. Overall, this work is an important first step towards improving visual outcomes in visual prosthesis users across a wide range of stimuli.","NIH R00-EY029329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,"Invited Talk","Restoring vision at the fovea",McGregor,Juliette,"Department of Ophthalmology and Center for Visual Science, University of Rochester, Rochester NY, USA","Currently little can be done to restore high quality vision to patients with retinal degeneration. Tasks like recognizing faces require high acuity vision which is mediated by the fovea, a specialized retinal structure unique to humans and non-human primates. Signals from the fovea dominate visual cortex and optimizing vision restoration therapies at this retinal location has the potential to yield higher quality outcomes. Adaptive Optics Scanning Light Ophthalmoscopy provides an innovative preclinical development platform for evaluating therapies in non-human primates, allowing photoreceptor ablation and cellular scale functional recording of restored responses from foveal retinal ganglion cells in the living eye. Recent work has also enabled observation of immune cell activity in primate retina at the cellular scale. I will describe experiments using in vivo calcium imaging to demonstrate optogenetic restoration of RGC activity in primate fovea and efforts to accelerate progress toward more naturalistic restored vision, using stem cell-derived photoreceptor replacement therapy. Key to the success of all of vision restoration therapies is understanding the impact of periods of long term vision loss on the retina and I will share results examining changes in foveal RGCs in the weeks and months following deafferentation. Finally I will consider the unique perceptual challenges which may arise when restoring light sensitivity to foveal tissue.
","I acknowledge funding support from the AGI initiative NIH U24 EY033275, CVS core support from NIH P30 EY0001319, an unrestricted grant to the Flaum Eye Institute from Research to Prevent Blindness and the Steven. E. Feldon Scholarship from the Flaum Eye Institute.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,6,"Invited Talk","Genetic therapies for inherited retinal disorders",Huckfeldt,Rachel,"Massachusetts Eye and Ear","The accessibility of the retina makes it an attractive target for genetic therapies to treat inherited retinal disorders (IRDs). The FDA’s approval of voretigene neparvovec-rzyl in 2017 for biallelic RPE65-associated retinal dystrophies demonstrated that the safety and efficacy needed for regulatory approval of such therapies could be achieved. Clinical trials assessing a growing array of genetic strategies are offering valuable insight on the potential of these therapies for the treatment of IRDs while also emphasizing ongoing challenges in their development. This presentation will review the range of genetic therapies for IRDs being tested in clinical trials and the results to-date as well as discuss challenges including those related to evaluating efficacy. 
",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4,7,"Invited Talk","The New Generation of Visual Cortical Prosthetics",Yoshor,Daniel,"University of Pennsylvania","Since the 1960s, the prospect of developing a visual cortical prosthesis for restoration of useful vision to the blind has tantalized scientists, engineers, and clinicians. After two decades of relative inactivity, interest in this approach has been renewed. There are now multiple active efforts to develop next generation visual prostheses and to bring these devices to clinical implementation. We will review the current state of the field, with a particular emphasis on our own work, and will highlight advances in the field as well challenges that must be overcome to produce a clinically useful prosthetic device. ","NIH R01EY023336, NIH UH3NS103442, DARPA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,1,8,"Contributed Talk","Towards General Video Percepts Cone-by-Cone",Wang,Congli,"University of California, Berkeley","We aim to reprogram visual perception through an Adaptive Optics Scanning Laser Ophthalmoscope (AOSLO) Display, using a GPU renderer that rasterizes a target color image or video into cone-by-cone single-wavelength laser light pulses (""microdoses""). We imaged and tracked at ~ 2° eccentricity a 0.9° x 0.9° field of view of the retina in 840 nm. Stimulated in 543 nm, all resolved, spectrally classified cones receive microdoses of varying intensities. The renderer updates for each AOSLO frame (30 frames / sec) an underlying stimulation image buffer, encoding a desired color percept pattern that takes into account the cone locations, cone spectral sensitivity to the 543 nm stimulation light, and the corresponding color percept pixel values. Within one frame, the buffer gets pixelated strip-by-strip at 1 kHz into actual world-fixed microdose intensity values, each centered on a cone within that strip at that instant. The resulting frame of microdoses visually occupies the whole raster view. We showed multiple color percepts to a cone-classified subject, with logging data. The subject saw spatially-varying colors, e.g. a red box moving on a green canvas – these percepts validated the accuracy of the prototype. These initial prototyping experiments allude to the potential of presenting general percepts to a cone-classified subject, at cone-level accuracy in a fully programmable way. The technology allows us to probe neural plasticity and towards generation of novel percepts.","This work was supported by the Air Force Office of Scientific Research under award numbers FA9550-20-1-0195 and FA9550-21-1-0230.",Fong,James,"University of California, Berkeley",Doyle,"Hannah K.","University of California, Berkeley",Herbeck,"Sofie R.","University of California, Berkeley",Tan,Jeffrey,"University of California, Berkeley",Roorda,Austin,"University of California, Berkeley",Ng,Ren,"University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,2,9,"Contributed Talk","Spectral, Spatial and Temporal Response Properties of Foveal Ganglion Cells",Patterson,Sara,"University of Rochester","While the fovea is best known for its high spatial acuity mediated by a high density of midget ganglion cells (RGCs), anatomy and transcriptomics show ~15 rarer RGC types are also present. However, our understanding of the visual information these RGCs convey to the brain is limited as both the fovea and rarer RGC types have been difficult to address with standard physiology techniques. We addressed this gap in knowledge in vivo, with two macaques expressing GCaMP6s in the foveal ganglion cell layer. Using a fluorescence adaptive optics scanning light ophthalmoscope, we presented stimuli to the cones while measuring the responses of hundreds of distinct cells. We classified cells with stimuli assessing polarity, spectral tuning, receptive field size, temporal tuning and motion sensitivity. 21% of cells had response properties inconsistent with midget RGCs, including ON-OFF responses, non-canonical spatial receptive fields, direction selectivity and suppressed-by-contrast responses. Our classification enables in vivo functional identification of the rarest foveal RGCs, laying the foundation for future experiments targeting these elusive cells to determine their roles in vision. While the dominance of midget RGCs observed is consistent with the fovea’s specialization for acuity, the unappreciated functional diversity we observed indicates that far more visual processing occurs within the primate fovea than classically thought.","NIH Grants F32 EY032318, P30 EY001319, R01 EY031467, R01 EY021166, R01EY028293, R01 EY032116, T32 EY007125, U24 EY033275 and Research to Prevent Blindness",Godat,Tyler,"University of Rochester",Kohout,Kendall,"University of Rochester",Yang,Qiang,"University of Rochester",Merigan,William,"University of Rochester",Williams,David,"University of Rochester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,3,10,"Contributed Talk","Layer-specific, retinotopically-diffuse modulation in human visual cortex by emotional faces",Liu,Tong,NIMH,"Emotionally expressive faces evoke enhanced neural responses in multiple brain regions, a phenomenon thought to depend critically on the amygdala. This emotion-related modulation is evident even in primary visual cortex (V1), providing a potential neural substrate by which emotionally salient stimuli can affect perception. How does emotional valence information, computed in the amygdala, reach V1? Here we use high-resolution functional MRI to investigate the layer profile and retinotopic distribution of neural activity specific to emotional facial expressions. Across three experiments, human participants viewed centrally presented face stimuli varying in emotional expression and performed a gender judgment task. We found that facial valence sensitivity was evident only in superficial cortical layers and was not restricted to the retinotopic location of the stimuli, consistent with diffuse feedback-like projections from the amygdala. Together, our results provide a feedback mechanism by which the amygdala directly modulates activity at the earliest stage of visual processing. ","This work was supported by the Intramural Research Program of the National Institute of Mental Health (ZIAMH002918; NCT00001360).",Fu,Jason,NIMH,Chai,Yuhui,NIMH,Japee,Shruti,NIMH,Chen,Gang,NIMH,Ungerleider,Leslie,NIMH,Merriam,Elisha,NIMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
